Customer_ID,Policy_ID,Age,Occupation,Education,Credit_Score,Fraud_Risk_Score,CCJs,DUI,Claims_Count,Traffic_Violations,Licence,Driver1_LicenceYears,Driver1_LicenceRecord,Driver1_Claims_Count
178455ebb4c11ac2bd9029ffe1e96a22,1,43,Chef,Masters,369.889150825795,0.979645519429995,1,1,4,1,Full,7,0,3
bc50583b05fa404012f8a987c9417a8c,2,43,Pharmacist,Doctorate,760.533067307901,0.590279341408074,0,1,5,1,International,5,1,1
29196c2d21067f214b2cc1774a0c0a67,3,33,Personal Trainer,Masters,676.983092033537,0.902636359695389,1,1,1,1,International,1,1,5
8e84b0119abb59915f1a44873a0be8fc,4,71,Pharmacist,Vocational,549.385011287173,0.663391301492431,3,1,1,1,Full,27,1,2
c5b750ca39025c4b56061a1398e572fb,5,34,Carpenter,Bachelors,605.893184359185,0.997474976617301,0,1,0,1,EU/EEA,8,1,1
9d8143b3e80548bfffea2b963751fba1,6,68,Police Officer,Doctorate,308.401952915825,0.9814840714361,0,1,1,1,International,44,2,0
7831bbc25ceaabff9bd2044e34534283,7,24,Barista,ALevels,42.2963718005922,0.945213553242185,1,1,1,1,International,2,0,3
43dc6f42d3447f04ea4c44ec08495490,8,35,Lawyer,Bachelors,54.4686314729042,0.764613778118741,0,1,1,1,Full,5,4,0
466fdd8410cfd4e9bf68699c3529dc34,9,28,Pharmacist,Doctorate,735.472947533475,0.903891314292322,2,1,0,1,Full,7,0,1
4311ebdac051e9a51c0d8b41fa81026f,10,22,Librarian,Bachelors,918.477258745814,0.877459074550358,2,1,0,1,Full,3,0,2
c71d09100abb2c58144aa0d64e13880c,11,20,Carpenter,Bachelors,146.599501293618,0.710031867256725,4,1,0,1,EU/EEA,0,0,0
51e22ab8e359d93d28e3a9f7006bcbca,12,32,Accountant,Doctorate,549.570136816939,0.918136724297281,1,1,2,1,International,4,0,0
4c24f1224252ad9a79ae986a6bcdbaf4,13,97,Doctor,ALevels,847.457959626568,0.947945103526528,2,1,1,1,Full,76,1,1
dfab5cbb796f387f30c753a4edadd8d8,14,18,Teacher,Vocational,276.852662350517,0.995771905145455,0,1,0,1,Full,0,1,0
eb166cd896d26696e9ee174e116ea1d5,15,73,Engineer,ALevels,147.162477318663,0.892257988242389,0,1,3,1,Full,6,0,0
24aae518a6d5bf90e307d61e5b3645f2,16,32,Flight Attendant,Bachelors,159.923505787505,0.654514347429648,4,1,3,1,Full,7,1,0
fd1faade6d342148ead8b4d6949bc0f0,17,43,Barista,ALevels,649.034407472704,0.950578368606431,2,1,1,1,International,6,1,0
ca4ba7755fc7504d5d014243cdb4c4b5,18,67,Electrician,Masters,695.034388195491,0.855421793111871,0,1,0,1,EU/EEA,32,3,1
6aeafbe4e9914943cc0531048f022270,19,18,Pharmacist,Vocational,434.960158386966,0.967349822320282,0,1,5,1,EU/EEA,0,1,4
0133be20b24838d360c8417418706c4b,20,28,Software Developer,Doctorate,777.034413053189,0.555629261308007,4,1,2,1,International,9,0,5
c2f7fe632cf3ebd2d101b6d9b6daa8c0,21,46,Electrician,Bachelors,800.188929655356,0.967093585776569,0,1,0,1,Full,9,0,1
fe7b996ffba22606dfff6ca865c42689,22,79,Lawyer,Vocational,959.070296525722,0.908859686851201,1,1,4,1,EU/EEA,56,2,4
