Customer_ID,Policy_ID,Coverage_Type,Purchase_Date,Cover_Start_Date,Cover_End_Date,Period_of_Cover,LOB,Broker,Claim_ID,Claim_Status,Claim_Date,Claim_Closed_Date,Claim_Cost,Claim_Description
178455ebb4c11ac2bd9029ffe1e96a22,1,Comprehensive,10-02-2022,16-11-2022,16-11-2023,365,Private_Motor,Athena_Family,1,Closed,25-05-2023,15-06-2023,9642.716073,Minor fender bender on a busy street.
178455ebb4c11ac2bd9029ffe1e96a22,1,Comprehensive,10-02-2022,16-11-2022,16-11-2023,365,Private_Motor,Athena_Family,1,Closed,19-07-2023,20-07-2023,802.8947192,Damage caused by a fallen tree during a storm.
bc50583b05fa404012f8a987c9417a8c,2,TPO,21-12-2021,02-05-2022,02-05-2023,365,Private_Motor,Athena_Lite,2,Pending,06-06-2022,,9232.854349,Damage caused by a fallen tree during a storm.
29196c2d21067f214b2cc1774a0c0a67,3,Comprehensive,11-01-2022,19-03-2022,19-03-2023,365,Private_Motor,Athena_Family,3,Live,,,2170.666969,Vehicle collision at an intersection.
8e84b0119abb59915f1a44873a0be8fc,4,TPO,11-11-2020,16-06-2021,16-06-2022,365,Private_Motor,Athena_Lite,4,Closed,27-12-2021,17-01-2022,4776.482813,Minor fender bender on a busy street.
c5b750ca39025c4b56061a1398e572fb,5,TPFT,15-10-2022,23-02-2023,23-02-2024,365,Private_Motor,Athena_Lite,5,Pending,28-07-2023,,9367.401567,Rear-end collision on the highway.
9d8143b3e80548bfffea2b963751fba1,6,Comprehensive,27-09-2021,07-06-2022,07-06-2023,365,Private_Motor,Athena_Lite,6,Live,,,4927.751216,Accidental damage while parked in a garage.
7831bbc25ceaabff9bd2044e34534283,7,TPFT,04-03-2021,23-12-2021,23-12-2022,365,Private_Motor,Athena_Lite,7,Live,,,4864.601145,Total loss due to severe fire damage.
43dc6f42d3447f04ea4c44ec08495490,8,TPO,14-09-2020,28-07-2021,28-07-2022,365,Private_Motor,Athena_Lite,8,Live,,,8435.775926,Damage caused by a fallen tree during a storm.
466fdd8410cfd4e9bf68699c3529dc34,9,Comprehensive,05-04-2021,04-09-2021,04-09-2022,365,Private_Motor,Athena_Family,9,Live,,,3387.768135,Damage caused by a fallen tree during a storm.
4311ebdac051e9a51c0d8b41fa81026f,10,PIP,07-04-2022,07-03-2023,06-03-2024,365,Private_Motor,Athena_Family,10,Closed,16-09-2023,21-09-2023,3199.522138,Stolen vehicle recovered with significant damage.
c71d09100abb2c58144aa0d64e13880c,11,PIP,06-10-2020,29-05-2021,29-05-2022,365,Private_Motor,Athena_Family,11,Pending,14-11-2021,,4883.178889,Hail damage to the roof and windshield.
51e22ab8e359d93d28e3a9f7006bcbca,12,TPFT,09-01-2022,06-04-2022,06-04-2023,365,Private_Motor,Athena_Lite,12,Pending,31-03-2023,,1543.238946,Total loss due to severe fire damage.
4c24f1224252ad9a79ae986a6bcdbaf4,13,TPFT,17-09-2022,21-02-2023,21-02-2024,365,Private_Motor,Athena_Family,13,Live,,,6240.056755,Minor fender bender on a busy street.
dfab5cbb796f387f30c753a4edadd8d8,14,PIP,20-01-2021,06-09-2021,06-09-2022,365,Private_Motor,Athena_Gold,14,Closed,19-09-2021,21-09-2021,2395.628058,Stolen vehicle recovered with significant damage.
eb166cd896d26696e9ee174e116ea1d5,15,TPFT,04-03-2022,22-10-2022,22-10-2023,365,Private_Motor,Athena_Lite,15,Closed,31-05-2023,11-06-2023,4219.3202,Rear-end collision on the highway.
24aae518a6d5bf90e307d61e5b3645f2,16,TPO,08-03-2021,18-07-2021,18-07-2022,365,Private_Motor,Athena_Lite,16,Closed,07-05-2022,23-05-2022,9198.035365,Hail damage to the roof and windshield.
fd1faade6d342148ead8b4d6949bc0f0,17,TPFT,05-02-2021,26-01-2022,26-01-2023,365,Private_Motor,Athena_Lite,17,Live,,,7692.263357,Accidental damage while parked in a garage.
